Final-release STL validation
STL files: 23
Load errors: 0
Watertight meshes: 20

Multi-body files are intentional clip plates or assembly previews.
01_FINAL_RELEASE/01_CYBERDECK_V14_GEHAEUSE/01_TASTATURHAELFTE_K06_M5_V14.stl | watertight=True | bodies=1 | extents=87.17458 x 155.199997 x 17.54884 mm | error=
01_FINAL_RELEASE/01_CYBERDECK_V14_GEHAEUSE/02_HANDYHAELFTE_PIXEL6A_M5_V14.stl | watertight=True | bodies=1 | extents=87.17458 x 155.199997 x 17.54884 mm | error=
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/00_CLIP_PASSFORM_ZUERST/01_CLIP_LEICHT_9P26.stl | watertight=True | bodies=1 | extents=11.5 x 13.279057 x 5.65 mm | error=
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/00_CLIP_PASSFORM_ZUERST/02_CLIP_NOMINAL_9P34.stl | watertight=True | bodies=1 | extents=11.5 x 13.279057 x 5.65 mm | error=
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/00_CLIP_PASSFORM_ZUERST/03_CLIP_FEST_9P42.stl | watertight=True | bodies=1 | extents=11.5 x 13.279057 x 5.65 mm | error=
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/01_V14_SCHIEBEBOX_75P8X155P2_POWERBANK_100X76X16_V6.stl | watertight=True | bodies=1 | extents=75.800003 x 155.199997 x 22.0 mm | error=
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/02_SCHIEBEDECKEL_75P8X155P2_V6.stl | watertight=True | bodies=1 | extents=75.800003 x 155.199997 x 8.8 mm | error=
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/03_SECHS_VERSENKTE_HEX_HALTECLIPS_NOMINAL_V6.stl | watertight=True | bodies=6 | extents=43.5 x 29.279057 x 5.65 mm | error=
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/MONTAGE_UNTER_V14_VORSCHAU.stl | watertight=False | bodies=3 | extents=87.274578 x 155.199997 x 39.54884 mm | error=
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/POWERBANK_PASSFORM_VORSCHAU.stl | watertight=True | bodies=2 | extents=76.0 x 155.199997 x 22.0 mm | error=
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/00_CLIP_PASSFORM_ZUERST/04_CLIP_PASSFORM_9P26_9P34_9P42.stl | watertight=True | bodies=3 | extents=43.5 x 13.279057 x 6.15 mm | error=
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/00_CLIP_PASSFORM_ZUERST/05_EINZELCLIP_LEICHT_9P26.stl | watertight=True | bodies=1 | extents=11.5 x 13.279057 x 6.15 mm | error=
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/00_CLIP_PASSFORM_ZUERST/06_EINZELCLIP_NOMINAL_9P34.stl | watertight=True | bodies=1 | extents=11.5 x 13.279057 x 6.15 mm | error=
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/00_CLIP_PASSFORM_ZUERST/07_EINZELCLIP_FEST_9P42.stl | watertight=True | bodies=1 | extents=11.5 x 13.279057 x 6.15 mm | error=
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/01_V14_HEX_RINGSTAND_BASIS_60MM.stl | watertight=True | bodies=1 | extents=60.0 x 60.0 x 12.639474 mm | error=
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/02_ELEGANTER_KLAPPRING_M3.stl | watertight=True | bodies=1 | extents=59.949997 x 52.0 x 7.7 mm | error=
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/03_VIER_HEX_HALTECLIPS_NOMINAL_9P34.stl | watertight=True | bodies=4 | extents=29.5 x 29.279057 x 6.15 mm | error=
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/01_RING_EINGEKLAPPT.stl | watertight=True | bodies=2 | extents=59.999998 x 60.0 x 12.639474 mm | error=
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/02_RING_AUFGEKLAPPT.stl | watertight=True | bodies=2 | extents=65.269098 x 60.0 x 61.015728 mm | error=
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/03_RING_AN_V14_HANDYHAELFTE.stl | watertight=False | bodies=3 | extents=87.17458 x 155.199997 x 78.564568 mm | error=
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/04_CYBERDECK_MIT_RINGSTAND_AUF_TISCH.stl | watertight=False | bodies=4 | extents=158.956291 x 155.199997 x 90.15271 mm | error=
01_FINAL_RELEASE/04_VERBESSERTE_V6_HEXCLIPS_PLUS1MM/01_CLIP_EINZELTEST_EINRASTKRAGEN_10P34_PLUS1MM.stl | watertight=True | bodies=1 | extents=11.5 x 13.279057 x 5.65 mm | error=
01_FINAL_RELEASE/04_VERBESSERTE_V6_HEXCLIPS_PLUS1MM/02_SECHS_CLIPS_EINRASTKRAGEN_10P34_PLUS1MM.stl | watertight=True | bodies=6 | extents=43.5 x 29.279057 x 5.65 mm | error=
