relative_path,bytes,vertices,faces,watertight,body_count,extent_x_mm,extent_y_mm,extent_z_mm,load_error
01_FINAL_RELEASE/01_CYBERDECK_V14_GEHAEUSE/01_TASTATURHAELFTE_K06_M5_V14.stl,140084,1278,2800,True,1,87.17458,155.199997,17.54884,
01_FINAL_RELEASE/01_CYBERDECK_V14_GEHAEUSE/02_HANDYHAELFTE_PIXEL6A_M5_V14.stl,998184,9849,19962,True,1,87.17458,155.199997,17.54884,
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/00_CLIP_PASSFORM_ZUERST/01_CLIP_LEICHT_9P26.stl,5184,53,102,True,1,11.5,13.279057,5.65,
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/00_CLIP_PASSFORM_ZUERST/02_CLIP_NOMINAL_9P34.stl,5184,53,102,True,1,11.5,13.279057,5.65,
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/00_CLIP_PASSFORM_ZUERST/03_CLIP_FEST_9P42.stl,5184,53,102,True,1,11.5,13.279057,5.65,
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/01_V14_SCHIEBEBOX_75P8X155P2_POWERBANK_100X76X16_V6.stl,183684,1816,3672,True,1,75.800003,155.199997,22.0,
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/02_SCHIEBEDECKEL_75P8X155P2_V6.stl,105884,1060,2116,True,1,75.800003,155.199997,8.8,
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/03_SECHS_VERSENKTE_HEX_HALTECLIPS_NOMINAL_V6.stl,29684,308,592,True,6,43.5,29.279057,5.65,
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/MONTAGE_UNTER_V14_VORSCHAU.stl,335384,3177,6706,False,3,87.274578,155.199997,39.54884,
01_FINAL_RELEASE/02_AKKU_UNTERBOX_V6_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/POWERBANK_PASSFORM_VORSCHAU.stl,195384,1935,3906,True,2,76.0,155.199997,22.0,
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/00_CLIP_PASSFORM_ZUERST/04_CLIP_PASSFORM_9P26_9P34_9P42.stl,15584,161,310,True,3,43.5,13.279057,6.15,
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/00_CLIP_PASSFORM_ZUERST/05_EINZELCLIP_LEICHT_9P26.stl,5184,53,102,True,1,11.5,13.279057,6.15,
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/00_CLIP_PASSFORM_ZUERST/06_EINZELCLIP_NOMINAL_9P34.stl,5184,53,102,True,1,11.5,13.279057,6.15,
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/00_CLIP_PASSFORM_ZUERST/07_EINZELCLIP_FEST_9P42.stl,5184,53,102,True,1,11.5,13.279057,6.15,
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/01_V14_HEX_RINGSTAND_BASIS_60MM.stl,147784,1465,2954,True,1,60.0,60.0,12.639474,
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/02_ELEGANTER_KLAPPRING_M3.stl,115984,1157,2318,True,1,59.949997,52.0,7.7,
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/03_VIER_HEX_HALTECLIPS_NOMINAL_9P34.stl,19284,200,384,True,4,29.5,29.279057,6.15,
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/01_RING_EINGEKLAPPT.stl,263684,2622,5272,True,2,59.999998,60.0,12.639474,
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/02_RING_AUFGEKLAPPT.stl,263684,2622,5272,True,2,65.269098,60.0,61.015728,
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/03_RING_AN_V14_HANDYHAELFTE.stl,1261784,12447,25234,False,3,87.17458,155.199997,78.564568,
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/04_CYBERDECK_MIT_RINGSTAND_AUF_TISCH.stl,1401784,13725,28034,False,4,158.956291,155.199997,90.15271,
01_FINAL_RELEASE/04_VERBESSERTE_V6_HEXCLIPS_PLUS1MM/01_CLIP_EINZELTEST_EINRASTKRAGEN_10P34_PLUS1MM.stl,5984,57,118,True,1,11.5,13.279057,5.65,
01_FINAL_RELEASE/04_VERBESSERTE_V6_HEXCLIPS_PLUS1MM/02_SECHS_CLIPS_EINRASTKRAGEN_10P34_PLUS1MM.stl,34284,330,684,True,6,43.5,29.279057,5.65,
DRUCKDATEIEN_SORTIERT/00_GESPERRT_FALSCHE_54MM_VERSION_NICHT_DRUCKEN/ALT_V4_HANDYHAELFTE_NUR_MIT_54MM_PAAR_VERWENDET_NICHT_DRUCKEN.stl,992484,9790,19848,True,1,91.274582,155.199997,17.799999,
DRUCKDATEIEN_SORTIERT/00_GESPERRT_FALSCHE_54MM_VERSION_NICHT_DRUCKEN/ALT_V4_M5_SCHARNIER_TEST.stl,32484,324,648,True,2,48.0,21.6,12.3,
DRUCKDATEIEN_SORTIERT/00_GESPERRT_FALSCHE_54MM_VERSION_NICHT_DRUCKEN/ALT_V4_VERSCHLUSS_TEST.stl,6284,66,124,True,2,21.25,14.0,15.4,
DRUCKDATEIEN_SORTIERT/00_GESPERRT_FALSCHE_54MM_VERSION_NICHT_DRUCKEN/FEHLERHAFT_54MM_K06_PASSLEHRE.stl,18184,183,362,True,1,64.0,24.0,12.6,
DRUCKDATEIEN_SORTIERT/00_GESPERRT_FALSCHE_54MM_VERSION_NICHT_DRUCKEN/FEHLERHAFT_54MM_TASTATURHAELFTE.stl,185684,1734,3712,True,1,89.088039,167.763016,18.71398,
DRUCKDATEIEN_SORTIERT/00_GESPERRT_FALSCHE_54MM_VERSION_NICHT_DRUCKEN/V4_180_GRAD_NICHT_DRUCKEN.stl,1178084,11524,23560,True,2,171.889999,167.763016,18.816339,
DRUCKDATEIEN_SORTIERT/00_GESPERRT_FALSCHE_54MM_VERSION_NICHT_DRUCKEN/V4_ARBEITSSTELLUNG_NICHT_DRUCKEN.stl,1178084,11523,23560,False,3,128.902916,167.763016,96.771332,
DRUCKDATEIEN_SORTIERT/00_GESPERRT_FALSCHE_54MM_VERSION_NICHT_DRUCKEN/V4_GESCHLOSSEN_NICHT_DRUCKEN.stl,1178084,11524,23560,True,2,91.28804,167.763016,27.816339,
DRUCKDATEIEN_SORTIERT/01_TESTDRUCKE_ZUERST/04_WABEN_STECK_TEST.stl,67984,681,1358,True,4,48.0,42.5,4.75,
DRUCKDATEIEN_SORTIERT/01_V8_TESTDRUCKE_ZUERST/01_M5_SCHARNIER_TEST_V8.stl,32484,324,648,True,2,48.0,21.6,12.3,
DRUCKDATEIEN_SORTIERT/01_V8_TESTDRUCKE_ZUERST/02_K06_PASSLEHRE_59P6MM_V8.stl,17784,179,354,True,1,64.0,24.0,12.6,
DRUCKDATEIEN_SORTIERT/01_V8_TESTDRUCKE_ZUERST/03_ABNEHMBARER_ENDCLIP_V8_ZWEIMAL_DRUCKEN.stl,1484,16,28,True,1,8.4,6.149994,31.0,
DRUCKDATEIEN_SORTIERT/01_V9_TESTDRUCKE/01_M5_SCHARNIER_TEST_V9.stl,32484,324,648,True,2,48.0,21.6,12.3,
DRUCKDATEIEN_SORTIERT/01_V9_TESTDRUCKE/02_K06_PASSLEHRE_59P6MM_V9.stl,17784,179,354,True,1,64.0,24.0,12.6,
DRUCKDATEIEN_SORTIERT/01_V9_TESTDRUCKE/03_ENDCLIP_V9_ZWEIMAL_DRUCKEN.stl,1484,16,28,True,1,8.4,6.149994,31.0,
DRUCKDATEIEN_SORTIERT/02_ADAPTER/01_MULTI_ADAPTER_HALTERUNG.stl,28684,278,572,True,1,62.849998,55.759998,17.379999,
DRUCKDATEIEN_SORTIERT/02_ADAPTER/02_MULTI_ADAPTER_STECKSTIFTE_6_STUECK.stl,78084,744,1560,True,6,39.220001,25.646339,5.3,
DRUCKDATEIEN_SORTIERT/03_V10_SAUBERE_FINALDATEIEN/01_TASTATURHAELFTE_K06_59P6MM_M5_V10.stl,140884,1286,2816,True,1,87.188042,155.199997,18.71398,
DRUCKDATEIEN_SORTIERT/03_V10_SAUBERE_FINALDATEIEN/02_HANDYHAELFTE_PIXEL6A_M5_WABEN_V10.stl,988784,9755,19774,True,1,87.17458,155.199997,17.54884,
DRUCKDATEIEN_SORTIERT/03_V11_GLEICHE_SCHARNIERKONTUR/01_TASTATURHAELFTE_K06_M5_V11.stl,141284,1290,2824,True,1,87.17458,155.199997,18.56518,
DRUCKDATEIEN_SORTIERT/03_V11_GLEICHE_SCHARNIERKONTUR/02_HANDYHAELFTE_PIXEL6A_M5_WABEN_V11.stl,988784,9755,19774,True,1,87.17458,155.199997,17.54884,
DRUCKDATEIEN_SORTIERT/03_V12_KORRIGIERT/01_TASTATURHAELFTE_K06_M5_V12.stl,140084,1278,2800,True,1,87.17458,155.199997,17.54884,
